55917	56129	213
56130	56220	91
56221	56466	246
56467	56505	39
56506	56571	66
56572	56717	146
56718	56821	104
56822	56889	68
56890	57165	276
57166	57261	96
57262	57352	91
57353	57379	27
57380	57577	198
57578	57673	96
57674	57768	95
57769	57825	57
57826	57909	84
57910	57973	64
57974	58058	85
58059	58189	131
58190	58373	184
58374	58422	49
58423	58535	113
58536	58633	98
58634	58684	51
58685	58718	34
58719	58752	34
58753	58837	85
58838	58885	48
58886	59074	189
59075	59112	38
59113	59173	61
59174	59240	67
59241	59361	121
59362	59505	144
59506	59798	293
59799	60054	256
60055	60096	42
60097	60153	57
60154	60200	47
60201	60310	110
60311	60406	96
60407	60636	230
60637	60736	100
60737	61005	269
61006	61081	76
61082	61184	103
61185	61219	35
61220	61416	197
61417	61485	69
61486	61536	51
61537	61596	60
61597	61717	121
61718	61920	203
61921	62092	172
62093	62338	246
62339	62499	161
62500	62551	52
62552	62602	51
62603	62651	49
62652	62684	33
62685	62727	43
62728	62797	70
62798	62871	74
62872	62924	53
62925	62955	31
62956	63000	45
63001	63261	261
63262	63531	270
63532	63700	169
63701	63847	147
63848	63921	74
63922	63980	59
63981	64046	66
64047	64145	99
64146	64200	55
64201	64322	122
64323	64465	143
64466	64491	26
64492	64549	58
64550	64587	38
64588	64945	358
64946	65005	60
65006	65082	77
65083	65214	132
65215	65330	116
65331	65380	50
65381	65464	84
65465	65500	36
65501	65597	97
65598	65662	65
65663	65768	106
65769	65973	205
65974	66084	111
66085	66235	151
66236	66385	150
66386	66589	204
66590	66653	64
66654	66795	142
66796	66830	35
66831	67081	251
67082	67300	219
67301	67356	56
67357	67408	52
67409	67657	249
67658	67676	19
67677	67714	38
67715	67752	38
67753	67818	66
67819	68108	290
68109	68141	33
68142	69785	1644
69786	70365	580
70366	70930	565
70931	71756	826
71757	71804	48
71805	71805	1
71806	71806	1
71807	71807	1
71808	71808	1
71809	71809	1
71810	71810	1
71811	71811	1
71812	73102	1291
73103	73205	103
73206	73247	42
73248	73262	15
73263	73310	48
73311	73353	43
73354	74308	955
74309	74574	266
74575	74958	384
74959	75083	125
75084	75315	232
75316	75656	341
75657	75768	112
75769	76846	1078
76847	77128	282
77129	77766	638
77767	78202	436
78203	78223	21
78224	78798	575
78799	79033	235
79034	79072	39
79073	79375	303
79376	79529	154
79530	79654	125
79655	79754	100
79755	79856	102
79857	80614	758
80615	80742	128
